objectid,filename,format,title,title_ar,script_en,script_ar,description,description_ar,creator,creator_ar,date,date_note,subject,subject_ar,material,material_ar,technique,technique_ar,content_en,content_ar,dimensions,language,type,inscription,piece_number,sort_order,source_file,additional_files,instagram,file_matched
wd-025,25WD_90x42.JPG,image/jpeg,"In the name of God, I ask You for the good of entering and the good of leaving…",بسم الله إني أسألك خير المولج وخير المخرج، بسم الله ولجنا وبسم الله خرجنا وعلى الله ربنا توكلنا,Naskh,خط النسخ,"Inlaid wood. The inscription “In the name of God, I ask You for the good of entering and the good of leaving…” is written in Naskh. Dimensions: 90 × 42 cm. Full inscription is given in Arabic.",خشب مطعم. نقش «بسم الله إني أسألك خير المولج وخير المخرج، بسم الله ولجنا وبسم الله خرجنا وعلى الله ربنا توكلنا» مكتوب بخط النسخ. المقاس: 90 × 42 سم. النص الكامل: بسم الله اني اسألك خير المولج وخير المخرج، بسم الله ولجنا وبسم الله خرجنا وعلى الله ربنا توكلنا,Muhammed Saied Kalash,محمد سعيد كلش,,,Wood; Text; Calligraphy; Naskh,خشب؛ خط؛ خط عربي؛ خط النسخ,Wood,خشب,Inlaid wood,خشب مطعم,Text,خط,90 × 42 cm,ara; eng,Image;StillImage,بسم الله اني اسألك خير المولج وخير المخرج، بسم الله ولجنا وبسم الله خرجنا وعلى الله ربنا توكلنا,25,16,wood works/25WD_90x42.JPG,,no,yes
wd-026,26WD_68x40.JPG,image/jpeg,"In the name of God, the Most Gracious, the Most Merciful",بسم الله الرحمن الرحيم,Geometric Kufic,كوفي هندسي,"Inlaid wood. The inscription “In the name of God, the Most Gracious, the Most Merciful” is written in Geometric Kufic. Dimensions: 68 × 40 cm.",خشب مطعم. نقش «بسم الله الرحمن الرحيم» مكتوب بالكوفي الهندسي. المقاس: 68 × 40 سم.,Muhammed Saied Kalash,محمد سعيد كلش,,,Wood; Text; Calligraphy; Geometric Kufic,خشب؛ خط؛ خط عربي؛ كوفي هندسي,Wood,خشب,Inlaid wood,خشب مطعم,Text,خط,68 × 40 cm,ara; eng,Image;StillImage,بسم الله الرحمن الرحيم,26,17,wood works/26WD_68x40.JPG,,yes,yes
wd-027,27WD_71x39.JPG,image/jpeg,"And say: Act, for God will see your deeds, and His Messenger and the believers (At-Tawbah 105)",وقل اعملوا فسيرى الله عملكم ورسوله والمؤمنون,Thuluth,خط الثلث,"Inlaid wood. The inscription “And say: Act, for God will see your deeds, and His Messenger and the believers (At-Tawbah 105)” is written in Thuluth. Dated 1998. Dimensions: 71 × 39 cm.",خشب مطعم. نقش «وقل اعملوا فسيرى الله عملكم ورسوله والمؤمنون» مكتوب بخط الثلث. أُنجز عام ١٩٩٨. المقاس: 71 × 39 سم.,Muhammed Saied Kalash,محمد سعيد كلش,1998,,Wood; Text; Calligraphy; Thuluth,خشب؛ خط؛ خط عربي؛ خط الثلث,Wood,خشب,Inlaid wood,خشب مطعم,Text,خط,71 × 39 cm,ara; eng,Image;StillImage,وقل اعملوا فسيرى الله عملكم ورسوله والمؤمنين,27,18,wood works/27WD_71x39.JPG,,no,yes
wd-029,29WD_99x70.JPG,image/jpeg,"God is Greatest, and all praise belongs to God",الله أكبر ولله الحمد,Kufic and Thuluth,كوفي وخط الثلث,"Inlaid wood. The inscription “God is Greatest, and all praise belongs to God” is written in Kufic and Thuluth. Dimensions: 99 × 70 cm.",خشب مطعم. نقش «الله أكبر ولله الحمد» مكتوب بالكوفي وخط الثلث. المقاس: 99 × 70 سم.,Muhammed Saied Kalash,محمد سعيد كلش,,,Wood; Text; Calligraphy; Kufic and Thuluth,خشب؛ خط؛ خط عربي؛ كوفي وخط الثلث,Wood,خشب,Inlaid wood,خشب مطعم,Text,خط,99 × 70 cm,ara; eng,Image;StillImage,الله اكبر ولله الحمد,29,19,wood works/29WD_99x70.JPG,,no,yes
wd-030,30WD_79x122.JPG,image/jpeg,"God — there is no god except Him, the Ever-Living, the Sustainer",الله لا إله إلا هو الحي القيوم,Foliated Kufic,كوفي مزهر,"Inlaid wood. The inscription “God — there is no god except Him, the Ever-Living, the Sustainer” is written in Foliated Kufic. Dimensions: 79 × 122 cm.",خشب مطعم. نقش «الله لا إله إلا هو الحي القيوم» مكتوب بالكوفي المزهر. المقاس: 79 × 122 سم.,Muhammed Saied Kalash,محمد سعيد كلش,,,Wood; Text; Calligraphy; Foliated Kufic,خشب؛ خط؛ خط عربي؛ كوفي مزهر,Wood,خشب,Inlaid wood,خشب مطعم,Text,خط,79 × 122 cm,ara; eng,Image;StillImage,الله لا الله الا هو الحي القيوم,30,20,wood works/30WD_79x122.JPG,,no,yes
wd-032,32WD_83x83.JPG,image/jpeg,"My Lord, enable me to be grateful for Your favor which You have bestowed upon me and upon my parents, and to do righteous work that You approve",ربِّ أوزعني أن أشكر نعمتك التي أنعمت عليّ وعلى والديّ وأن أعمل صالحاً ترضاه,Thuluth,خط الثلث,"Inlaid wood. The inscription “My Lord, enable me to be grateful for Your favor which You have bestowed upon me and upon my parents, and to do righteous work that You approve” is written in Thuluth. Dimensions: 83 × 83 cm.",خشب مطعم. نقش «ربِّ أوزعني أن أشكر نعمتك التي أنعمت عليّ وعلى والديّ وأن أعمل صالحاً ترضاه» مكتوب بخط الثلث. المقاس: 83 × 83 سم.,Muhammed Saied Kalash,محمد سعيد كلش,,,Wood; Text; Calligraphy; Thuluth,خشب؛ خط؛ خط عربي؛ خط الثلث,Wood,خشب,Inlaid wood,خشب مطعم,Text,خط,83 × 83 cm,ara; eng,Image;StillImage,ربي اوعزني ان اشكر نعمتك التي انعمت علي وعلى والدي وان اعمل صالحا ترضاه,32,21,wood works/32WD_83x83.JPG,,no,yes
wd-033,33WD_85x85.JPG,image/jpeg,Recite in the name of your Lord who created (Al-Alaq),اقرأ باسم ربك الذي خلق، خلق الإنسان من علق، اقرأ وربك الأكرم الذي علّم بالقلم,Thuluth,خط الثلث,Inlaid wood. The inscription “Recite in the name of your Lord who created (Al-Alaq)” is written in Thuluth. Dimensions: 85 × 85 cm. Full inscription is given in Arabic.,خشب مطعم. نقش «اقرأ باسم ربك الذي خلق، خلق الإنسان من علق، اقرأ وربك الأكرم الذي علّم بالقلم» مكتوب بخط الثلث. المقاس: 85 × 85 سم. النص الكامل: اقرأ باسم ربك الذي خلق، خلق الانسان من علق،اقرأ وربك الاكرم، الذي علم بالقلم,Muhammed Saied Kalash,محمد سعيد كلش,,,Wood; Text; Calligraphy; Thuluth,خشب؛ خط؛ خط عربي؛ خط الثلث,Wood,خشب,Inlaid wood,خشب مطعم,Text,خط,85 × 85 cm,ara; eng,Image;StillImage,اقرأ باسم ربك الذي خلق، خلق الانسان من علق،اقرأ وربك الاكرم، الذي علم بالقلم,33,22,wood works/33WD_85x85.JPG,,no,yes
wd-034,34WD_83x83.JPG,image/jpeg,"Our Lord, we have believed, so forgive us and have mercy on us; You are the best of the merciful",ربنا آمنا فاغفر لنا وارحمنا وأنت خير الراحمين,Kufic and Thuluth,كوفي وخط الثلث,"Inlaid wood. The inscription “Our Lord, we have believed, so forgive us and have mercy on us; You are the best of the merciful” is written in Kufic and Thuluth. Dimensions: 83 × 83 cm.",خشب مطعم. نقش «ربنا آمنا فاغفر لنا وارحمنا وأنت خير الراحمين» مكتوب بالكوفي وخط الثلث. المقاس: 83 × 83 سم.,Muhammed Saied Kalash,محمد سعيد كلش,,,Wood; Text; Calligraphy; Kufic and Thuluth,خشب؛ خط؛ خط عربي؛ كوفي وخط الثلث,Wood,خشب,Inlaid wood,خشب مطعم,Text,خط,83 × 83 cm,ara; eng,Image;StillImage,ربنا آمنا فأغفر لنا وارحمنا وانت خير الرحمين,34,23,wood works/34WD_83x83.JPG,,no,yes
wd-035,35WD_78x31.JPG,image/jpeg,This is from the grace of my Lord,هذا من فضل ربي,Foliated Kufic,كوفي مزهر,Inlaid wood. The inscription “This is from the grace of my Lord” is written in Foliated Kufic. Dated 1997. Dimensions: 78 × 31 cm.,خشب مطعم. نقش «هذا من فضل ربي» مكتوب بالكوفي المزهر. أُنجز عام ١٩٩٧. المقاس: 78 × 31 سم.,Muhammed Saied Kalash,محمد سعيد كلش,1997,,Wood; Text; Calligraphy; Foliated Kufic,خشب؛ خط؛ خط عربي؛ كوفي مزهر,Wood,خشب,Inlaid wood,خشب مطعم,Text,خط,78 × 31 cm,ara; eng,Image;StillImage,هذا من فضل ربي,35,24,wood works/35WD_78x31.JPG,,no,yes
wd-036,36WD_71x41.JPG,image/jpeg,"In the name of God, the Most Gracious, the Most Merciful",بسم الله الرحمن الرحيم,Geometric Kufic,كوفي هندسي,"Inlaid wood. The inscription “In the name of God, the Most Gracious, the Most Merciful” is written in Geometric Kufic. Dimensions: 71 × 41 cm.",خشب مطعم. نقش «بسم الله الرحمن الرحيم» مكتوب بالكوفي الهندسي. المقاس: 71 × 41 سم.,Muhammed Saied Kalash,محمد سعيد كلش,,,Wood; Text; Calligraphy; Geometric Kufic,خشب؛ خط؛ خط عربي؛ كوفي هندسي,Wood,خشب,Inlaid wood,خشب مطعم,Text,خط,71 × 41 cm,ara; eng,Image;StillImage,بسم الله الرحمن الرحيم,36,25,wood works/36WD_71x41.JPG,,yes,yes
wd-037,37WD_107x38.JPG,image/jpeg,"Our Lord, grant us mercy from Yourself and prepare for us from our affair right guidance",ربنا آتنا من لدنك رحمة وهيئ لنا من أمرنا رشداً,Thuluth,خط الثلث,"Inlaid wood. The inscription “Our Lord, grant us mercy from Yourself and prepare for us from our affair right guidance” is written in Thuluth. Dated 1991. Dimensions: 107 × 38 cm.",خشب مطعم. نقش «ربنا آتنا من لدنك رحمة وهيئ لنا من أمرنا رشداً» مكتوب بخط الثلث. أُنجز عام ١٩٩١. المقاس: 107 × 38 سم.,Muhammed Saied Kalash,محمد سعيد كلش,1991,,Wood; Text; Calligraphy; Thuluth,خشب؛ خط؛ خط عربي؛ خط الثلث,Wood,خشب,Inlaid wood,خشب مطعم,Text,خط,107 × 38 cm,ara; eng,Image;StillImage,ربنا آتنا من لدنك رحمة وهيئ لنا من امرنا رشدا,37,26,wood works/37WD_107x38.JPG,,no,yes
wd-038,38WD_87x26.JPG,image/jpeg,What God wills; there is no power except with God,ما شاء الله لا قوة إلا بالله,Thuluth,خط الثلث,Inlaid wood. The inscription “What God wills; there is no power except with God” is written in Thuluth. Dated 2005. Dimensions: 87 × 26 cm.,خشب مطعم. نقش «ما شاء الله لا قوة إلا بالله» مكتوب بخط الثلث. أُنجز عام ٢٠٠٥. المقاس: 87 × 26 سم.,Muhammed Saied Kalash,محمد سعيد كلش,2005,,Wood; Text; Calligraphy; Thuluth,خشب؛ خط؛ خط عربي؛ خط الثلث,Wood,خشب,Inlaid wood,خشب مطعم,Text,خط,87 × 26 cm,ara; eng,Image;StillImage,ما شاء الله لا قوة الا بالله,38,27,wood works/38WD_87x26.JPG,,no,yes
wd-039,39WD_80x41.JPG,image/jpeg,God is sufficient for me,حسبي الله,Geometric Kufic,كوفي هندسي,Inlaid wood. The inscription “God is sufficient for me” is written in Geometric Kufic. Dated 2008. Dimensions: 80 × 41 cm.,خشب مطعم. نقش «حسبي الله» مكتوب بالكوفي الهندسي. أُنجز عام ٢٠٠٨. المقاس: 80 × 41 سم.,Muhammed Saied Kalash,محمد سعيد كلش,2008,,Wood; Text; Calligraphy; Geometric Kufic,خشب؛ خط؛ خط عربي؛ كوفي هندسي,Wood,خشب,Inlaid wood,خشب مطعم,Text,خط,80 × 41 cm,ara; eng,Image;StillImage,حسبي الله,39,28,wood works/39WD_80x41.JPG,,no,yes
wd-040,40WD_25x40.JPG,image/jpeg,Allah,الله,Geometric Kufic,كوفي هندسي,Inlaid wood. The inscription “Allah” is written in Geometric Kufic. Dimensions: 25 × 40 cm.,خشب مطعم. نقش «الله» مكتوب بالكوفي الهندسي. المقاس: 25 × 40 سم.,Muhammed Saied Kalash,محمد سعيد كلش,,,Wood; Text; Calligraphy; Geometric Kufic,خشب؛ خط؛ خط عربي؛ كوفي هندسي,Wood,خشب,Inlaid wood,خشب مطعم,Text,خط,25 × 40 cm,ara; eng,Image;StillImage,GOD\الله,40,29,wood works/40WD_25x40.JPG,,no,yes
wd-041,41WD_25x40.JPG,image/jpeg,Allah,الله,Geometric Kufic,كوفي هندسي,Inlaid wood. The inscription “Allah” is written in Geometric Kufic. Dimensions: 25 × 40 cm.,خشب مطعم. نقش «الله» مكتوب بالكوفي الهندسي. المقاس: 25 × 40 سم.,Muhammed Saied Kalash,محمد سعيد كلش,,,Wood; Text; Calligraphy; Geometric Kufic,خشب؛ خط؛ خط عربي؛ كوفي هندسي,Wood,خشب,Inlaid wood,خشب مطعم,Text,خط,25 × 40 cm,ara; eng,Image;StillImage,GOD\الله,41,30,wood works/41WD_25x40.JPG,,no,yes
wd-042,42WD_32x42.JPG,image/jpeg,"My Lord, expand for me my breast",ربِّ اشرح لي صدري,Thuluth,خط الثلث,"Inlaid wood. The inscription “My Lord, expand for me my breast” is written in Thuluth. Dated 2011. Dimensions: 32 × 42 cm.",خشب مطعم. نقش «ربِّ اشرح لي صدري» مكتوب بخط الثلث. أُنجز عام ٢٠١١. المقاس: 32 × 42 سم.,Muhammed Saied Kalash,محمد سعيد كلش,2011,,Wood; Text; Calligraphy; Thuluth,خشب؛ خط؛ خط عربي؛ خط الثلث,Wood,خشب,Inlaid wood,خشب مطعم,Text,خط,32 × 42 cm,ara; eng,Image;StillImage,ربي اشرح لي صدري,42,31,wood works/42WD_32x42.JPG,,no,yes
wd-045,45WD_80x42.JPG,image/jpeg,Resolves come according to the people of resolve (Al-Mutanabbi),على قدر أهل العزم تأتي العزائم وتأتي على قدر الكرام المكارم (المتنبي),Naskh,خط النسخ,Inlaid wood. The inscription “Resolves come according to the people of resolve (Al-Mutanabbi)” is written in Naskh. Dimensions: 80 × 42 cm.,خشب مطعم. نقش «على قدر أهل العزم تأتي العزائم وتأتي على قدر الكرام المكارم (المتنبي)» مكتوب بخط النسخ. المقاس: 80 × 42 سم.,Muhammed Saied Kalash,محمد سعيد كلش,,,Wood; Text; Calligraphy; Naskh,خشب؛ خط؛ خط عربي؛ خط النسخ,Wood,خشب,Inlaid wood,خشب مطعم,Text,خط,80 × 42 cm,ara; eng,Image;StillImage,على قدر اهل العزائم تأتي العزائم وتأتي على قدر الكرم المكارم (المتنبي),45,32,wood works/45WD_80x42.JPG,,no,yes
wd-046,46WD_25x40.JPG,image/jpeg,Allah,الله,Geometric Kufic,كوفي هندسي,Inlaid wood. The inscription “Allah” is written in Geometric Kufic. Dimensions: 25 × 40 cm.,خشب مطعم. نقش «الله» مكتوب بالكوفي الهندسي. المقاس: 25 × 40 سم.,Muhammed Saied Kalash,محمد سعيد كلش,,,Wood; Text; Calligraphy; Geometric Kufic,خشب؛ خط؛ خط عربي؛ كوفي هندسي,Wood,خشب,Inlaid wood,خشب مطعم,Text,خط,25 × 40 cm,ara; eng,Image;StillImage,GOD\الله,46,33,wood works/46WD_25x40.JPG,,no,yes
wd-047,47WD_65x56.JPG,image/jpeg,"In the name of God, the Most Gracious, the Most Merciful, and from Him we seek help",بسم الله الرحمن الرحيم وبه نستعين,Kufic and Thuluth,كوفي وخط الثلث,"Inlaid wood. The inscription “In the name of God, the Most Gracious, the Most Merciful, and from Him we seek help” is written in Kufic and Thuluth. Dimensions: 65 × 56 cm.",خشب مطعم. نقش «بسم الله الرحمن الرحيم وبه نستعين» مكتوب بالكوفي وخط الثلث. المقاس: 65 × 56 سم.,Muhammed Saied Kalash,محمد سعيد كلش,,,Wood; Text; Calligraphy; Kufic and Thuluth,خشب؛ خط؛ خط عربي؛ كوفي وخط الثلث,Wood,خشب,Inlaid wood,خشب مطعم,Text,خط,65 × 56 cm,ara; eng,Image;StillImage,ببسم الله الرحمن الرحيم وبه نستعين,47,34,wood works/47WD_65x56.JPG,,yes,yes
wd-049,49WD_27x37.JPG,image/jpeg,"My Lord, expand for me my breast",ربِّ اشرح لي صدري,Thuluth,خط الثلث,"Inlaid wood. The inscription “My Lord, expand for me my breast” is written in Thuluth. Dimensions: 27 × 37 cm.",خشب مطعم. نقش «ربِّ اشرح لي صدري» مكتوب بخط الثلث. المقاس: 27 × 37 سم.,Muhammed Saied Kalash,محمد سعيد كلش,,,Wood; Text; Calligraphy; Thuluth,خشب؛ خط؛ خط عربي؛ خط الثلث,Wood,خشب,Inlaid wood,خشب مطعم,Text,خط,27 × 37 cm,ara; eng,Image;StillImage,ربي اشرح لي صدري,49,35,wood works/49WD_27x37.JPG,,no,yes
